date,train_start,train_end,rows,iteration
20240102,20230922,20231222,318142,18
20240109,20231009,20231229,318364,17
20240116,20231016,20240108,318595,32
20240123,20231023,20240115,318819,7
20240130,20231030,20240122,319038,1
20240206,20231106,20240129,319250,57
20240221,20231113,20240205,319470,5
20240228,20231120,20240220,319685,38
20240306,20231127,20240227,319877,39
20240313,20231204,20240305,320046,12
20240320,20231211,20240312,320202,31
20240327,20231218,20240319,320345,24
20240403,20231225,20240326,320492,6
20240412,20240102,20240402,320647,2
20240419,20240109,20240411,320799,2
20240426,20240116,20240418,320935,30
20240508,20240123,20240425,321031,7
20240515,20240130,20240507,320986,10
20240522,20240206,20240514,320962,25
20240529,20240221,20240521,320935,3
20240605,20240228,20240528,320907,62
20240613,20240306,20240604,320875,20
20240620,20240313,20240612,320858,37
20240627,20240320,20240619,320822,1
20240704,20240327,20240626,320730,21
20240711,20240403,20240703,320610,30
20240718,20240412,20240710,320490,42
20240725,20240419,20240717,320376,7
20240801,20240426,20240724,320260,6
20240808,20240508,20240731,320266,5
20240815,20240515,20240807,320241,24
20240822,20240522,20240814,320214,4
20240829,20240529,20240821,320196,13
20240905,20240605,20240828,320193,2
20240912,20240613,20240904,320170,83
20240923,20240620,20240911,320147,3
20240930,20240627,20240920,320183,155
20241014,20240704,20240927,320249,7
20241021,20240711,20241011,320278,44
20241028,20240718,20241018,320333,45
20241104,20240725,20241025,320417,4
20241111,20240801,20241101,320489,2
20241118,20240808,20241108,320585,18
20241125,20240815,20241115,320671,53
20241202,20240822,20241122,320767,18
20241209,20240829,20241129,320875,10
20241216,20240905,20241206,321000,33
20241223,20240912,20241213,321138,15
20241230,20240923,20241220,321283,7
20250107,20240930,20241227,321405,31
20250114,20241014,20250106,321538,11
20250121,20241021,20250113,321658,35
20250205,20241028,20250120,321799,51
20250212,20241104,20250127,321964,14
20250219,20241111,20250211,322119,19
20250226,20241118,20250218,322285,5
20250305,20241125,20250225,322430,30
20250312,20241202,20250304,322540,7
20250319,20241209,20250311,322632,110
20250326,20241216,20250318,322724,4
20250402,20241223,20250325,322807,52
20250410,20241230,20250401,322901,25
20250417,20250107,20250409,323012,48
20250424,20250114,20250416,323113,46
20250506,20250121,20250423,323190,45
20250513,20250205,20250430,323182,8
20250520,20250212,20250512,323201,7
20250527,20250219,20250519,323216,17
20250604,20250226,20250526,323226,29
20250611,20250305,20250603,323231,78
20250618,20250312,20250610,323270,108
20250625,20250319,20250617,323352,199
20250702,20250326,20250624,323443,75
20250709,20250402,20250701,323513,79
20250716,20250410,20250708,323563,12
20250723,20250417,20250715,323621,161
20250730,20250424,20250722,323677,33
20250806,20250506,20250729,323820,94
20250813,20250513,20250805,323924,16
20250820,20250520,20250812,324027,60
20250827,20250527,20250819,324145,12
20250903,20250604,20250826,324298,57
20250910,20250611,20250902,324428,30
20250917,20250618,20250909,324517,55
20250924,20250625,20250916,324607,74
20251009,20250702,20250923,324694,13
20251016,20250709,20250930,324798,1
20251023,20250716,20251015,324886,7
20251030,20250723,20251022,325013,27
20251106,20250730,20251029,325133,55
20251113,20250806,20251105,325251,199
20251120,20250813,20251112,325386,49
20251127,20250820,20251119,325524,31
20251204,20250827,20251126,325650,16
20251211,20250903,20251203,325750,13
20251218,20250910,20251210,325858,19
20251225,20250917,20251217,325967,48
